"Postaja","Glob_sevanje_max","Glob_sevanje_mean","Hitrost_vetra_max","Hitrost_vetra_mean","Hitrost_vetra_min","Sunki_vetra_max","Sunki_vetra_mean","Sunki_vetra_min","Padavine_mean","Padavine_sum","Pritisk_max","Pritisk_mean","Pritisk_min","Vlaga_max","Vlaga_mean","Vlaga_min","Temperatura_Krvavec_max","Temperatura_Krvavec_mean","Temperatura_Krvavec_min","Temperatura_lokacija_max","Temperatura_lokacija_mean","Temperatura_lokacija_min","O3","Mesec","Predviden_O3"
"2190","Ljubljana",139,19.625,1.7,1.0875,0.6,3.8,2.3875,1.2,0,0,986.2,985.65,985.3,84.7,82.5875,81.1,-2,-2.625,-3.2,5.6,4.925,4.3,52.15,"3",62.8166666666667
"51","Koper",80.9,10.225,3.7,2.225,1.2,8.2,4.825,2.2,0.0125,0.7,1003.4,1001.975,1000.7,79.3,69.6375,57.3,-10,-10.225,-10.5,1.7,0.6625,-0.2,88.05,"2",83.0833333333333
"720","Koper",17,2.125,2.7,1.8375,0.8,4.3,3.175,1.2,0,0,1000,998.3,996.6,82.5,75.55,62.4,-9.2,-9.7125,-10.2,5,2.05,0.4,71.6,"2",75.3833333333333
"730","Koper",28,3.5,2.5,1.8875,1.5,3.5,2.9,2.4,0,0,1025.8,1024.8375,1024.4,79.9,78.025,76.1,-0.8,-2.1,-3.2,3.1,2.5,1.7,71.5,"2",69.2166666666667
"1244","Koper",3,0.375,1.9,1.4375,1,3.2,2.6125,1.9,0,0,1030,1029.05,1028.3,92.1,91.175,90.1,7.7,6.9875,6.6,3.7,3.325,3,34.8,"12",53.5833333333333
"826","Koper",362,79.125,2,1.4,0.6,5.9,3.625,1.4,0,0,1014,1013.5125,1013.1,74.5,60.7625,51.7,4.8,3.3625,2.9,19,16.3625,15.1,89.35,"5",109.233333333333
"605","Koper",213,33,2.4,1.4875,0.5,6.2,3.375,1.3,0,0,1024.7,1023.7375,1023.4,76.1,62.175,50.9,6.6,4.6375,4,19.4,17.5375,14.2,86.85,"10",84.8666666666667
"2264","Ljubljana",495,125.625,0.9,0.5875,0.3,1.9,1.675,1.1,0,0,983.2,982.6125,982.1,92.1,85.85,71.4,11.1,10.05,9.4,18.4,15.3875,13.5,114.2,"5",100.533333333333
"1794","Ljubljana",229,39.375,1.2,0.6375,0.2,2.6,1.6,0.9,0,7.2,980.5,979.8875,979.5,95.7,93.575,87.8,10.5,8.625,8.2,16.8,15.625,15.1,71.6,"8",92.2166666666667
"75","Koper",199.9,30.35,7.2,3.4625,1.1,13.5,6.35,2.8,0.375,2.9,998.8,995.8125,993.1,85.5,78.95,67.9,-4.2,-4.7125,-5.5,8.8,7.0625,5.8,100.65,"3",107.3
"1062","Koper",58,16.125,1.5,1.175,0.9,3.1,2.6,1.6,0.4,3.2,1012,1011.4625,1011,85,79.8875,72.8,7.6,6.5375,5.9,19.6,18.5,18,118.45,"6",121.783333333333
